Start Time, Fri Apr 10 12:04:11 GMT-0400 2026
Energy calibration,  Offset: -168.54302978515625, Slope: 0.9260296821594238, Quadratic: 0
Live Time (s), 120
Real Time (s), 130.731314
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
276, 87.04116249084473, 848
277, 87.96719217300415, 858
278, 88.89322185516357, 848
279, 89.819251537323, 881
280, 90.74528121948242, 874
281, 91.67131090164185, 871
282, 92.59734058380127, 864
283, 93.5233702659607, 882
284, 94.44939994812012, 844
285, 95.37542963027954, 900
286, 96.30145931243896, 895
287, 97.22748899459839, 884
288, 98.15351867675781, 851
289, 99.07954835891724, 916
290, 100.00557804107666, 962
291, 100.93160772323608, 908
292, 101.85763740539551, 905
293, 102.78366708755493, 1025
294, 103.70969676971436, 925
295, 104.63572645187378, 1003
296, 105.5617561340332, 994
297, 106.48778581619263, 1023
298, 107.41381549835205, 941
299, 108.33984518051147, 1000
300, 109.2658748626709, 977
301, 110.19190454483032, 943
302, 111.11793422698975, 968
303, 112.04396390914917, 1013
304, 112.9699935913086, 1020
305, 113.89602327346802, 1115
306, 114.82205295562744, 1002
307, 115.74808263778687, 1019
308, 116.67411231994629, 994
309, 117.60014200210571, 1005
310, 118.52617168426514, 970
311, 119.45220136642456, 979
312, 120.37823104858398, 1024
313, 121.30426073074341, 1032
314, 122.23029041290283, 1076
315, 123.15632009506226, 1082
316, 124.08234977722168, 979
317, 125.0083794593811, 1074
318, 125.93440914154053, 1091
319, 126.86043882369995, 1056
320, 127.78646850585938, 1080
321, 128.7124981880188, 1113
322, 129.63852787017822, 1047
323, 130.56455755233765, 1115
324, 131.49058723449707, 1091
325, 132.4166169166565, 1140
326, 133.34264659881592, 1169
327, 134.26867628097534, 1067
328, 135.19470596313477, 1144
329, 136.1207356452942, 1156
330, 137.0467653274536, 1170
331, 137.97279500961304, 1186
332, 138.89882469177246, 1189
333, 139.82485437393188, 1183
334, 140.7508840560913, 1204
335, 141.67691373825073, 1188
336, 142.60294342041016, 1217
337, 143.52897310256958, 1237
338, 144.455002784729, 1272
339, 145.38103246688843, 1224
340, 146.30706214904785, 1215
341, 147.23309183120728, 1227
342, 148.1591215133667, 1210
343, 149.08515119552612, 1287
344, 150.01118087768555, 1169
345, 150.93721055984497, 1247
346, 151.8632402420044, 1232
347, 152.78926992416382, 1298
348, 153.71529960632324, 1166
349, 154.64132928848267, 1137
350, 155.5673589706421, 1175
351, 156.4933886528015, 1148
352, 157.41941833496094, 1109
353, 158.34544801712036, 1181
354, 159.27147769927979, 1109
355, 160.1975073814392, 1163
356, 161.12353706359863, 1104
357, 162.04956674575806, 1042
358, 162.97559642791748, 1116
359, 163.9016261100769, 1015
360, 164.82765579223633, 1051
361, 165.75368547439575, 956
362, 166.67971515655518, 1011
363, 167.6057448387146, 927
364, 168.53177452087402, 936
365, 169.45780420303345, 886
366, 170.38383388519287, 933
367, 171.3098635673523, 877
